"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 27, 2020","1,997.80","2,056.57","2,059.21","1,975.64","6.75M","-2.85%"
"Mar 26, 2020","2,056.49","2,018.14","2,056.49","1,980.09","7.53M","1.91%"
"Mar 25, 2020","2,017.93","2,034.92","2,186.30","1,985.06","9.98M","-0.80%"
"Mar 24, 2020","2,034.30","1,881.70","2,064.91","1,881.70","10.01M","8.16%"
"Mar 23, 2020","1,880.82","1,888.07","1,924.99","1,870.83","8.68M","-0.44%"
"Mar 20, 2020","1,889.19","1,706.56","1,961.04","1,706.56","18.84M","10.74%"
"Mar 19, 2020","1,705.90","1,632.42","1,749.73","1,632.13","11.15M","4.60%"
"Mar 18, 2020","1,630.84","1,767.25","1,778.71","1,622.95","12.80M","-7.79%"
"Mar 17, 2020","1,768.57","1,793.50","1,873.45","1,708.46","13.58M","-1.28%"
"Mar 16, 2020","1,791.42","2,000.63","2,000.63","1,753.62","13.46M","-10.46%"
"Mar 13, 2020","2,000.76","1,989.43","2,141.39","1,968.77","15.32M","0.48%"
"Mar 12, 2020","1,991.22","2,302.45","2,302.45","1,980.91","16.53M","-13.65%"
"Mar 11, 2020","2,305.95","2,363.34","2,431.23","2,283.66","11.51M","-2.35%"
"Mar 10, 2020","2,361.41","2,378.94","2,510.78","2,351.90","13.45M","-0.78%"
"Mar 09, 2020","2,379.93","2,614.45","2,614.45","2,368.87","16.42M","-9.01%"
"Mar 06, 2020","2,615.56","2,720.40","2,720.40","2,590.79","9.83M","-3.87%"
"Mar 05, 2020","2,720.96","2,799.21","2,830.79","2,709.85","8.60M","-2.77%"
"Mar 04, 2020","2,798.52","2,810.63","2,845.36","2,787.35","8.09M","-0.39%"
"Mar 03, 2020","2,809.58","2,779.53","2,881.47","2,779.53","8.77M","1.11%"
"Mar 02, 2020","2,778.68","2,789.64","2,820.24","2,729.67","9.45M","-0.31%"
"Feb 28, 2020","2,787.39","2,845.33","2,845.33","2,710.20","13.39M","-2.06%"
"Feb 27, 2020","2,845.94","2,956.44","2,956.44","2,817.69","7.97M","-3.85%"
"Feb 26, 2020","2,959.84","2,969.70","2,975.71","2,889.36","7.31M","-0.35%"
"Feb 25, 2020","2,970.26","3,040.36","3,048.22","2,959.86","5.77M","-2.30%"
