Date,Price,Open,High,Low,Vol.,Change %
12-Mar-20,"12,508.45","13,611.82","13,611.82","12,451.12",678.33M,-12.34%
13-Mar-20,"13,716.33","13,161.61","13,716.33","12,608.31",669.33M,9.66%
16-Mar-20,"12,360.40","12,648.73","12,851.68","11,883.66",525.67M,-9.89%
17-Mar-20,"12,685.21","12,525.27","13,114.53","12,322.67",618.75M,2.63%
18-Mar-20,"11,721.42","12,197.74","12,500.03","11,384.06",589.44M,-7.60%
19-Mar-20,"12,170.52","11,657.34","12,294.41","11,361.34",531.59M,3.83%
20-Mar-20,"11,851.81","12,335.65","12,670.78","11,809.40",727.89M,-2.62%
23-Mar-20,"11,228.49","11,802.77","11,870.56","11,172.73",473.24M,-5.26%
24-Mar-20,"12,571.08","11,909.65","12,588.28","11,823.86",489.33M,11.96%
25-Mar-20,"13,139.23","12,588.14","13,690.39","12,496.27",553.13M,4.52%
26-Mar-20,"13,371.17","13,154.10","13,592.34","13,138.34",471.05M,1.77%
27-Mar-20,"12,687.74","12,942.91","12,963.60","12,630.27",453.38M,-5.11%
30-Mar-20,"13,038.50","12,780.91","13,048.44","12,548.96",388.25M,2.76%
31-Mar-20,"13,378.75","13,083.92","13,557.62","13,083.92",498.99M,2.61%
1-Apr-20,"12,876.37","12,966.82","13,138.05","12,813.98",373.01M,-3.76%
2-Apr-20,"13,097.84","12,946.62","13,248.61","12,920.99",446.04M,1.72%
3-Apr-20,"12,938.30","13,108.27","13,171.19","12,829.38",354.99M,-1.22%
6-Apr-20,"13,592.70","13,362.37","13,603.00","13,300.13",386.78M,5.06%
7-Apr-20,"13,614.14","13,937.92","14,062.71","13,571.48",400.92M,0.16%
8-Apr-20,"13,925.71","13,725.95","13,964.92","13,588.40",374.16M,2.29%
9-Apr-20,"14,166.63","14,081.97","14,329.19","14,010.67",437.30M,1.73%
13-Apr-20,"14,075.94","14,195.12","14,197.58","13,889.25",326.41M,-0.64%
14-Apr-20,"14,258.43","14,239.06","14,440.91","14,110.70",335.90M,1.30%
15-Apr-20,"13,958.58","14,010.90","14,070.97","13,900.66",315.61M,-2.10%
16-Apr-20,"13,899.32","14,024.79","14,056.92","13,874.68",288.40M,-0.42%
17-Apr-20,"14,359.88","14,079.28","14,365.78","14,079.28",374.05M,3.31%
20-Apr-20,"14,388.28","14,132.77","14,509.80","14,075.77",334.71M,0.20%
21-Apr-20,"13,940.06","14,106.49","14,307.72","13,940.06",307.13M,-3.12%
22-Apr-20,"14,288.16","14,212.91","14,304.99","14,112.95",267.17M,2.50%
23-Apr-20,"14,251.09","14,329.37","14,422.42","14,238.69",311.06M,-0.26%
24-Apr-20,"14,420.36","14,337.58","14,433.65","14,242.75",323.78M,1.19%
27-Apr-20,"14,642.11","14,491.98","14,649.60","14,404.64",284.52M,1.54%
28-Apr-20,"14,798.29","14,767.64","14,855.98","14,658.66",297.71M,1.07%
29-Apr-20,"15,228.11","15,003.00","15,257.93","15,002.14",371.32M,2.90%
30-Apr-20,"14,780.74","15,114.81","15,114.81","14,767.13",403.60M,-2.94%
1-May-20,"14,620.34","14,562.98","14,661.19","14,520.20",287.32M,-1.09%
