"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2020","2,906.07","2,927.14","2,935.41","2,901.24","27.48B","-0.71%"
"Feb 12, 2020","2,926.90","2,895.56","2,926.90","2,892.42","24.87B","0.87%"
"Feb 11, 2020","2,901.67","2,894.54","2,913.82","2,882.24","26.92B","0.39%"
"Feb 10, 2020","2,890.49","2,860.50","2,891.85","2,851.05","29.49B","0.51%"
"Feb 07, 2020","2,875.96","2,858.93","2,875.96","2,838.77","30.95B","0.33%"
"Feb 06, 2020","2,866.51","2,826.89","2,876.59","2,807.61","31.64B","1.72%"
"Feb 05, 2020","2,818.09","2,792.37","2,842.74","2,778.86","30.98B","1.25%"
"Feb 04, 2020","2,783.29","2,685.27","2,786.16","2,685.27","36.40B","1.34%"
"Feb 03, 2020","2,746.61","2,716.70","2,766.58","2,716.70","21.59B","-7.72%"
"Jan 23, 2020","2,976.53","3,037.95","3,045.04","2,955.35","27.28B","-2.75%"
