Date,Price,Open,High,Low,Vol.,Change %
27-Feb-20,559.98,569.97,573.6,552.65,166.27M,-3.75%
28-Feb-20,539.38,541.44,543.65,531.18,255.63M,-3.68%
2-Mar-20,542.17,550.95,554.32,530.14,177.16M,0.52%
3-Mar-20,550.22,551.5,561.49,548.03,170.36M,1.48%
4-Mar-20,557.73,550.49,561.29,547.37,144.67M,1.36%
5-Mar-20,552.54,561.42,562.26,547.81,147.20M,-0.93%
6-Mar-20,531.29,540.58,543.89,528.49,174.10M,-3.85%
9-Mar-20,490.66,506.95,506.95,485.73,296.75M,-7.65%
10-Mar-20,484.7,498.76,513.23,482.05,254.52M,-1.21%
11-Mar-20,484.16,493.37,497.66,482.19,198.84M,-0.11%
12-Mar-20,432.1,460.95,463.54,428.09,316.51M,-10.75%
13-Mar-20,432.85,451.76,466.84,425.22,322.54M,0.17%
16-Mar-20,416.77,409.05,421.36,389.6,266.22M,-3.71%
17-Mar-20,424.26,431.65,432,401.46,248.71M,1.80%
18-Mar-20,404.1,410.85,415.85,398.04,220.01M,-4.75%
19-Mar-20,422.75,403.71,425.16,398.46,233.08M,4.62%
20-Mar-20,431.98,440.1,449.08,429.69,419.26M,2.18%
23-Mar-20,423.72,411.79,437.15,410.08,238.95M,-1.91%
24-Mar-20,461.73,441.27,461.73,437.54,223.34M,8.97%
25-Mar-20,475.4,471.44,482.53,454.59,231.45M,2.96%
26-Mar-20,482.99,463.04,482.99,458.63,178.09M,1.60%
27-Mar-20,464.93,471.16,474.37,458.03,168.80M,-3.74%
30-Mar-20,475.98,465.75,476.12,455.03,154.64M,2.38%
31-Mar-20,483.44,480.9,486.04,475.48,180.63M,1.57%
1-Apr-20,471.3,468.99,475.59,465.29,171.38M,-2.51%
2-Apr-20,478.28,473.98,482.66,468.12,175.47M,1.48%
3-Apr-20,471.46,475.21,477.13,469.67,145.04M,-1.43%
6-Apr-20,489.82,486.26,491.68,482.69,160.15M,3.89%
7-Apr-20,499.85,503.97,508.56,494.11,170.19M,2.05%
8-Apr-20,500.71,496.19,500.71,491.49,110.40M,0.17%
9-Apr-20,508.04,506.55,511.93,499.05,164.89M,1.46%
